County	City	State	Make	Model	Electric Vehicle Type
Suffolk	Suffolk	VA	TESLA	MODEL 3	Battery Electric Vehicle (BEV)
Yakima	Yakima	WA	TESLA	MODEL 3	Battery Electric Vehicle (BEV)
Yakima	Yakima	WA	AUDI	E-TRON	Battery Electric Vehicle (BEV)
Danville	Danville	VA	TESLA	MODEL 3	Battery Electric Vehicle (BEV)
Norfolk	Norfolk	VA	FORD	C-MAX	Plug-in Hybrid Electric Vehicle (PHEV)
Thurston	Olympia	WA	NISSAN	LEAF	Battery Electric Vehicle (BEV)
Thurston	Tenino	WA	CHEVROLET	VOLT	Plug-in Hybrid Electric Vehicle (PHEV)
Snohomish	Bothell	WA	TESLA	MODEL S	Battery Electric Vehicle (BEV)
King	Seattle	WA	NISSAN	LEAF	Battery Electric Vehicle (BEV)
Kittitas	Cle Elum	WA	TESLA	MODEL 3	Battery Electric Vehicle (BEV)
Snohomish	Snohomish	WA	TESLA	MODEL X	Battery Electric Vehicle (BEV)
Chelan	Leavenworth	WA	CHEVROLET	BOLT EV	Battery Electric Vehicle (BEV)
King	Kirkland	WA	KIA	NIRO	Battery Electric Vehicle (BEV)
Kitsap	Port Orchard	WA	NISSAN	LEAF	Battery Electric Vehicle (BEV)
Snohomish	Lake Stevens	WA	TESLA	MODEL 3	Battery Electric Vehicle (BEV)
Snohomish	Lake Stevens	WA	NISSAN	LEAF	Battery Electric Vehicle (BEV)
Skagit	Mount Vernon	WA	TESLA	MODEL 3	Battery Electric Vehicle (BEV)
Snohomish	Bothell	WA	FIAT	500	Battery Electric Vehicle (BEV)
DeKalb	Decatur	GA	NISSAN	LEAF	Battery Electric Vehicle (BEV)
